Date,Timestamp,Volume,Open,High,Low,Close,EURUSD
20190204,13:30:00,1794.25999212265,1.14483,1.14505,1.14476,1.14481,EURUSD,
20190204,13:35:00,1606.86999368668,1.1448,1.14511,1.1447,1.14499,EURUSD,
20190204,13:40:00,1603.24999153614,1.14499,1.145,1.14484,1.14493,EURUSD,
20190204,13:45:00,1870.63999815285,1.14492,1.14504,1.14466,1.14474,EURUSD,
20190204,13:50:00,1806.91999256611,1.14474,1.14484,1.14463,1.1448,EURUSD,
20190204,13:55:00,2620.23998594284,1.14481,1.1449,1.14462,1.14488,EURUSD,
20190204,14:00:00,2261.28999614716,1.14488,1.14504,1.14444,1.14445,EURUSD,
20190204,14:05:00,2884.18999242783,1.14446,1.14454,1.14339,1.14345,EURUSD,
20190204,14:10:00,2201.69999885559,1.14346,1.14376,1.14331,1.14372,EURUSD,
20190204,14:15:00,1921.30999231339,1.14372,1.14383,1.14363,1.14382,EURUSD,
20190204,14:20:00,2130.28999078274,1.14384,1.14385,1.14345,1.14356,EURUSD,
20190204,14:25:00,2407.17999076843,1.14356,1.1439,1.14356,1.14386,EURUSD,
20190204,14:30:00,2330.28999054432,1.14386,1.14398,1.14376,1.14382,EURUSD,
20190204,14:35:00,1891.46999168396,1.14382,1.1439,1.14364,1.14373,EURUSD,
20190204,14:40:00,1820.59000015259,1.14372,1.14388,1.14367,1.14367,EURUSD,
20190204,14:45:00,2104.03999769688,1.14368,1.14375,1.14331,1.1434,EURUSD,
20190204,14:50:00,2751.40999341011,1.14341,1.14341,1.14262,1.14266,EURUSD,
20190204,14:55:00,2557.62999927998,1.14267,1.14272,1.14248,1.14262,EURUSD,
20190204,15:00:00,3555.05999660492,1.14263,1.14345,1.14262,1.14341,EURUSD,
20190204,15:05:00,2415.49999117851,1.14341,1.1436,1.14318,1.14341,EURUSD,
20190204,15:10:00,2496.92999398708,1.14342,1.14363,1.14308,1.14353,EURUSD,
20190204,15:15:00,2795.74999678135,1.14354,1.14358,1.14297,1.14328,EURUSD,
20190204,15:20:00,1891.99999833107,1.14327,1.14366,1.14309,1.14357,EURUSD,
20190204,15:25:00,2308.6499979496,1.14357,1.14375,1.14321,1.14327,EURUSD,
20190204,15:30:00,1859.13999676704,1.14327,1.14367,1.14327,1.14356,EURUSD,
20190204,15:35:00,1660.69999718666,1.14354,1.14354,1.14307,1.14332,EURUSD,
20190204,15:40:00,2183.32999277115,1.14332,1.14356,1.14323,1.14355,EURUSD,
20190204,15:45:00,2114.55999314785,1.14356,1.14358,1.14314,1.14326,EURUSD,
20190204,15:50:00,2242.09999930859,1.14325,1.14357,1.14301,1.14325,EURUSD,
20190204,15:55:00,2937.20998847485,1.14325,1.14325,1.14254,1.14287,EURUSD,
20190204,16:00:00,3467.81998646259,1.14286,1.14296,1.14244,1.14246,EURUSD,
20190204,16:05:00,2319.78999400139,1.14247,1.14303,1.14246,1.14276,EURUSD,
20190204,16:10:00,2454.17999327183,1.14276,1.14281,1.14248,1.14272,EURUSD,
20190204,16:15:00,2117.43998885155,1.14273,1.14298,1.14266,1.14292,EURUSD,
20190204,16:20:00,1799.04999566078,1.14292,1.14322,1.14291,1.14301,EURUSD,
20190204,16:25:00,2400.76000237465,1.14301,1.14315,1.14277,1.14293,EURUSD,
20190204,16:30:00,1682.79999673367,1.14293,1.14318,1.14283,1.14287,EURUSD,
20190204,16:35:00,1790.53999698162,1.14287,1.14292,1.14256,1.14266,EURUSD,
20190204,16:40:00,1409.66999745369,1.14266,1.14275,1.14259,1.14273,EURUSD,
20190204,16:45:00,1603.31000518799,1.14273,1.14319,1.14262,1.14316,EURUSD,
20190204,16:50:00,1669.7899941206,1.14315,1.14332,1.14314,1.14329,EURUSD,
20190204,16:55:00,1804.23999631405,1.14329,1.14378,1.14329,1.14376,EURUSD,
20190204,17:00:00,2173.999994874,1.14376,1.14382,1.14362,1.14367,EURUSD,
20190204,17:05:00,1036.62999880314,1.14368,1.1438,1.14362,1.14376,EURUSD,
20190204,17:10:00,2050.27999329567,1.14375,1.14399,1.14369,1.1437,EURUSD,
